ref,context,premise,example,judgment,comment,index,
khm-modal-evid1,epi-nec-1,na,khm-modal-1,felicitous,,1,
khm-modal-evid2,epi-nec-2,na,khm-modal-2,felicitous,,2,
khm-modal-evid3,epi-nec-3,na,khm-modal-3,felicitous,,3,
khm-modal-evid4,epi-nec-4,na,khm-modal-4,felicitous,,4,
khm-modal-evid5,epi-wn-1,na,khm-modal-5,felicitous,,5,
khm-modal-evid6,epi-wn-2,na,khm-modal-6,felicitous,,6,
khm-modal-evid7,epi-wn-3,na,khm-modal-7,felicitous,,7,
khm-modal-evid8,epi-pos-1,na,khm-modal-8,felicitous,,8,
khm-modal-evid9,epi-pos-2,na,khm-modal-9,felicitous,,9,
khm-modal-evid10,epi-pos-3,na,khm-modal-10,felicitous,,10,
khm-modal-evid11,epi-pos-4,na,khm-modal-11,felicitous,,11,
khm-modal-evid12,epi-pos-5,na,khm-modal-12,felicitous,,12,
khm-modal-evid13,epi-nnec-1,na,khm-modal-13,felicitous,,13,
khm-modal-evid14,epi-imp-1,na,khm-modal-14,felicitous,,14,
khm-modal-evid14b,epi-imp-1,na,khm-modal-14b,infelicitous,,15,
khm-modal-evid15,epi-imp-2,na,khm-modal-15,felicitous,,16,
khm-modal-evid16,deo-nec-1,na,khm-modal-16,felicitous,,17,
khm-modal-evid16b,deo-nec-1,na,khm-modal-16b,felicitous,,18,
khm-modal-evid16c,deo-nec-1,na,khm-modal-16c,felicitous,,19,
khm-modal-evid17,deo-nec-2,na,khm-modal-17,felicitous,,20,
khm-modal-evid17b,deo-nec-2,na,khm-modal-17b,felicitous,,21,
khm-modal-evid18,deo-wn-1,na,khm-modal-18,felicitous,,22,
khm-modal-evid19,deo-wn-2,na,khm-modal-19,felicitous,,23,
khm-modal-evid20,deo-wn-3,na,khm-modal-20,felicitous,,24,
khm-modal-evid21,deo-pos-1,na,khm-modal-21,felicitous,,25,
khm-modal-evid21b,deo-pos-1,na,khm-modal-21b,ungrammatical,,26,
khm-modal-evid21c,deo-pos-1,na,khm-modal-21c,infelicitous,,27,
khm-modal-evid22,deo-pos-2,na,khm-modal-22,felicitous,,28,
khm-modal-evid22b,deo-pos-2,na,khm-modal-22b,felicitous,,29,
khm-modal-evid22c,deo-pos-2,na,khm-modal-22c,infelicitous,,30,
khm-modal-evid22d,deo-pos-2,na,khm-modal-22d,infelicitous,,31,
khm-modal-evid23,deo-pos-3,na,khm-modal-23,felicitous,,32,
khm-modal-evid24,deo-pos-4,na,khm-modal-24,felicitous,,33,
khm-modal-evid24b,deo-pos-4,na,khm-modal-24b,felicitous,,34,
khm-modal-evid25,deo-nnec-1,na,khm-modal-25,felicitous,,35,
khm-modal-evid26,deo-nnec-2,na,khm-modal-26,felicitous,,36,
khm-modal-evid27,deo-imp-1,na,khm-modal-27,felicitous,,37,
khm-modal-evid28,deo-imp-2,na,khm-modal-28,felicitous,,38,
khm-modal-evid28b,deo-imp-2,na,khm-modal-28b,felicitous,,39,
khm-modal-evid29,tel-nec-1,na,khm-modal-29,felicitous,,40,
khm-modal-evid29b,tel-nec-1,na,khm-modal-29b,felicitous,,41,
khm-modal-evid30,tel-nec-2,na,khm-modal-30,felicitous,,42,
khm-modal-evid30b,tel-nec-2,na,khm-modal-30b,felicitous,,43,
khm-modal-evid31,tel-nec-3,na,khm-modal-31,felicitous,,44,
khm-modal-evid31b,tel-nec-3,na,khm-modal-31b,felicitous,,45,
khm-modal-evid32,tel-wn-1,na,khm-modal-32,felicitous,,46,
khm-modal-evid33,tel-wn-2,na,khm-modal-33,felicitous,,47,
khm-modal-evid34,tel-wn-3,na,khm-modal-34,felicitous,,48,
khm-modal-evid35,tel-pos-1,na,khm-modal-35,felicitous,,49,
khm-modal-evid36,tel-pos-2,na,khm-modal-36,felicitous,,50,
khm-modal-evid37,tel-pos-3,na,khm-modal-37,felicitous,,51,
khm-modal-evid38,tel-nnec-1,na,khm-modal-38,felicitous,,52,
khm-modal-evid39,tel-imp-1,na,khm-modal-39,felicitous,,53,
khm-modal-evid40,tel-imp-2,na,khm-modal-40,felicitous,,54,
khm-modal-evid41,cir-nec-1,na,khm-modal-41,felicitous,,55,preferred
khm-modal-evid41b,cir-nec-1,na,khm-modal-41b,felicitous,,56,
khm-modal-evid41c,cir-nec-1,na,khm-modal-41c,infelicitous,,57,
khm-modal-evid41d,cir-nec-1,na,khm-modal-41d,felicitous,,58,
khm-modal-evid42,cir-nec-2,na,khm-modal-42,felicitous,,59,
khm-modal-evid42b,cir-nec-2,na,khm-modal-42b,infelicitous,,60,
khm-modal-evid43,cir-nec-3,na,khm-modal-43,felicitous,,61,
khm-modal-evid44,cir-pos-1,na,khm-modal-44,felicitous,,62,
khm-modal-evid45,cir-pos-2,na,khm-modal-45,felicitous,,63,
khm-modal-evid46,cir-pos-3,na,khm-modal-46,felicitous,,64,
khm-modal-evid47,cir-pos-4,na,khm-modal-47,felicitous,,65,
khm-modal-evid48,cir-pos-5,na,khm-modal-48,felicitous,,66,
khm-modal-evid49,cir-nnec-1,na,khm-modal-49,felicitous,,67,
khm-modal-evid50,cir-imp-3,na,khm-modal-50,felicitous,,68,
khm-modal-evid51,cir-imp-2,na,khm-modal-51,felicitous,,69,
khm-modal-evid52,cir-imp-4,na,khm-modal-52,felicitous,,70,
khm-modal-evid53,bou-nec-1,na,khm-modal-53,felicitous,,71,preferred
khm-modal-evid53b,bou-nec-1,na,khm-modal-53b,felicitous,marginal,72,
khm-modal-evid54,bou-nec-2,na,khm-modal-54,felicitous,,73,
khm-modal-evid55,bou-nec-3,na,khm-modal-55,felicitous,,74,