expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
dole,strong,epistemic,1,"hau-modal-evid1, hau-modal-evid2, hau-modal-evid3, hau-modal-evid4",positive,no,dole,
dole,weak necessity,epistemic,1,"hau-modal-evid5b, hau-modal-evid6b, hau-modal-evid7b",positive,no,dole,
dole,weak,epistemic,?,,positive,no,dole,
dole,strong,deontic,1,"hau-modal-evid15, hau-modal-evid16",positive,no,dole,
dole,weak necessity,deontic,?,,positive,no,dole,
dole,weak,deontic,?,,positive,no,dole,
dole,strong,teleological,1,"hau-modal-evid29, hau-modal-evid30, hau-modal-evid30b, hau-modal-evid31, hau-modal-evid31b",positive,no,dole,
dole,weak necessity,teleological,0,hau-modal-evid32c,positive,no,dole,
dole,weak,teleological,?,,positive,no,dole,
dole,strong,circumstantial,1,"hau-modal-evid41, hau-modal-evid41c, hau-modal-evid42, hau-modal-evid43",positive,no,dole,
dole,weak,circumstantial,?,,positive,no,dole,
dole,strong,bouletic,1,"hau-modal-evid52, hau-modal-evid53",positive,no,dole,
dole,strong,epistemic,1,hau-modal-evid12c,negative,high,ba dole,
dole,weak necessity,epistemic,?,,negative,,,
dole,weak,epistemic,?,,negative,,,
dole,strong,deontic,1,"hau-modal-evid25b, hau-modal-evid26b",negative,high,ba dole,
dole,weak necessity,deontic,?,,negative,,,
dole,weak,deontic,?,,negative,,,
dole,strong,teleological,1,hau-modal-evid38b,negative,,,
dole,weak necessity,teleological,?,,negative,,,
dole,weak,teleological,?,,negative,,,
dole,strong,circumstantial,1,hau-modal-evid49,negative,,,
dole,weak,circumstantial,?,,negative,,,
dole,strong,bouletic,?,,negative,,,
lallai,strong,epistemic,1,hau-modal-evid1b,positive,no,lallai,
lallai,weak necessity,epistemic,1,"hau-modal-evid5, hau-modal-evid6, hau-modal-evid7",positive,no,lallai,
lallai,weak,epistemic,?,,positive,no,lallai,
lallai,strong,deontic,?,,positive,no,lallai,
lallai,weak necessity,deontic,?,,positive,no,lallai,
lallai,weak,deontic,?,,positive,no,lallai,
lallai,strong,teleological,?,,positive,no,lallai,
lallai,weak necessity,teleological,0,hau-modal-evid32b,positive,no,lallai,
lallai,weak,teleological,?,,positive,no,lallai,
lallai,strong,circumstantial,?,,positive,no,lallai,
lallai,weak,circumstantial,?,,positive,no,lallai,
lallai,strong,bouletic,?,,positive,no,lallai,
lallai,strong,epistemic,?,,negative,,,
lallai,weak necessity,epistemic,?,,negative,,,
lallai,weak,epistemic,?,,negative,,,
lallai,strong,deontic,1,"hau-modal-evid25, hau-modal-evid26",negative,high,ba lallai,
lallai,weak necessity,deontic,?,,negative,,,
lallai,weak,deontic,?,,negative,,,
lallai,strong,teleological,1,hau-modal-evid38,negative,,,
lallai,weak necessity,teleological,?,,negative,,,
lallai,weak,teleological,?,,negative,,,
lallai,strong,circumstantial,?,,negative,,,
lallai,weak,circumstantial,?,,negative,,,
lallai,strong,bouletic,?,,negative,,,
Wataƙila ,strong,epistemic,?,,positive,no,Wataƙila ,
Wataƙila ,weak necessity,epistemic,?,,positive,no,Wataƙila ,
Wataƙila ,weak,epistemic,1,"hau-modal-evid8, hau-modal-evid9, hau-modal-evid10, hau-modal-evid11",positive,no,Wataƙila ,
Wataƙila ,strong,deontic,?,,positive,no,Wataƙila ,
Wataƙila ,weak necessity,deontic,?,,positive,no,Wataƙila ,
Wataƙila ,weak,deontic,1,hau-modal-evid20,positive,no,Wataƙila ,
Wataƙila ,strong,teleological,?,,positive,no,Wataƙila ,
Wataƙila ,weak necessity,teleological,?,,positive,no,Wataƙila ,
Wataƙila ,weak,teleological,?,,positive,no,Wataƙila ,
Wataƙila ,strong,circumstantial,?,,positive,no,Wataƙila ,
Wataƙila ,weak,circumstantial,?,,positive,no,Wataƙila ,
Wataƙila ,strong,bouletic,?,,positive,no,Wataƙila ,
Wataƙila ,strong,epistemic,?,,negative,,,
Wataƙila ,weak necessity,epistemic,?,,negative,,,
Wataƙila ,weak,epistemic,1,hau-modal-evid12,negative,low,Wataƙila...ba,
Wataƙila ,strong,deontic,?,,negative,,,
Wataƙila ,weak necessity,deontic,?,,negative,,,
Wataƙila ,weak,deontic,?,,negative,,,
Wataƙila ,strong,teleological,?,,negative,,,
Wataƙila ,weak necessity,teleological,?,,negative,,,
Wataƙila ,weak,teleological,?,,negative,,,
Wataƙila ,strong,circumstantial,?,,negative,,,
Wataƙila ,weak,circumstantial,?,,negative,,,
Wataƙila ,strong,bouletic,?,,negative,,,
tabbacin,strong,epistemic,1,hau-modal-evid12b,negative,high,babu tabbacin,translated as 'certainty'
tabbacin,weak necessity,epistemic,?,,negative,,,
tabbacin,weak,epistemic,?,,negative,,,
tabbacin,strong,deontic,?,,negative,,,
tabbacin,weak necessity,deontic,?,,negative,,,
tabbacin,weak,deontic,?,,negative,,,
tabbacin,strong,teleological,?,,negative,,,
tabbacin,weak necessity,teleological,?,,negative,,,
tabbacin,weak,teleological,?,,negative,,,
tabbacin,strong,circumstantial,?,,negative,,,
tabbacin,weak,circumstantial,?,,negative,,,
tabbacin,strong,bouletic,?,,negative,,,
yiwu,strong,epistemic,?,,negative,,,
yiwu,weak necessity,epistemic,?,,negative,,,
yiwu,weak,epistemic,1,"hau-modal-evid13, hau-modal-evid14b",negative,high,ba zai yiwu,
yiwu,strong,deontic,?,,negative,,,
yiwu,weak necessity,deontic,?,,negative,,,
yiwu,weak,deontic,?,,negative,,,
yiwu,strong,teleological,?,,negative,,,
yiwu,weak necessity,teleological,?,,negative,,,
yiwu,weak,teleological,?,,negative,,,
yiwu,strong,circumstantial,?,,negative,,,
yiwu,weak,circumstantial,?,,negative,,,
yiwu,strong,bouletic,?,,negative,,,
ya kamata,strong,epistemic,?,,positive,no,ya kamata + subj,
ya kamata,weak necessity,epistemic,?,,positive,no,ya kamata + subj,
ya kamata,weak,epistemic,?,,positive,no,ya kamata + subj,
ya kamata,strong,deontic,?,,positive,no,ya kamata + subj,
ya kamata,weak necessity,deontic,1,"hau-modal-evid17, hau-modal-evid18, hau-modal-evid19",positive,no,ya kamata + subj,
ya kamata,weak,deontic,?,,positive,no,ya kamata + subj,
ya kamata,strong,teleological,?,,positive,no,ya kamata + subj,
ya kamata,weak necessity,teleological,1,"hau-modal-evid32, hau-modal-evid33, hau-modal-evid34",positive,no,ya kamata + subj,
ya kamata,weak,teleological,?,,positive,no,ya kamata + subj,
ya kamata,strong,circumstantial,?,,positive,no,ya kamata + subj,
ya kamata,weak,circumstantial,?,,positive,no,ya kamata + subj,
ya kamata,strong,bouletic,?,,positive,no,ya kamata + subj,
iya,strong,epistemic,?,,positive,no,za...iya,
iya,weak necessity,epistemic,?,,positive,no,za...iya,
iya,weak,epistemic,?,,positive,no,za...iya,
iya,strong,deontic,?,,positive,no,za...iya,
iya,weak necessity,deontic,?,,positive,no,za...iya,
iya,weak,deontic,1,"hau-modal-evid21, hau-modal-evid22, hau-modal-evid22b, hau-modal-evid23, hau-modal-evid24",positive,no,za...iya,
iya,strong,teleological,?,,positive,no,za...iya,
iya,weak necessity,teleological,?,,positive,no,za...iya,
iya,weak,teleological,1,"hau-modal-evid35, hau-modal-evid36, hau-modal-evid37",positive,no,za...iya,
iya,strong,circumstantial,?,,positive,no,za...iya,
iya,weak,circumstantial,1,"hau-modal-evid44, hau-modal-evid45, hau-modal-evid46, hau-modal-evid46b, hau-modal-evid47, hau-modal-evid47b, hau-modal-evid48b",positive,no,za...iya,
iya,strong,bouletic,?,,positive,no,za...iya,
iya,strong,epistemic,?,,negative,,,
iya,weak necessity,epistemic,?,,negative,,,
iya,weak,epistemic,?,,negative,,,
iya,strong,deontic,?,,negative,,,
iya,weak necessity,deontic,?,,negative,,,
iya,weak,deontic,?,,negative,,,
iya,strong,teleological,?,,negative,,,
iya,weak necessity,teleological,?,,negative,,,
iya,weak,teleological,1,"hau-modal-evid39, hau-modal-evid40",negative,high,ba...iya,
iya,strong,circumstantial,?,,negative,,,
iya,weak,circumstantial,1,"hau-modal-evid50, hau-modal-evid51",negative,,,
iya,strong,bouletic,?,,negative,,,
buƙatar,strong,epistemic,?,,negative,,,
buƙatar,weak necessity,epistemic,?,,negative,,,
buƙatar,weak,epistemic,?,,negative,,,
buƙatar,strong,deontic,1,"hau-modal-evid25c, hau-modal-evid26c",negative,high,babu buƙatar,translated as 'need'
buƙatar,weak necessity,deontic,?,,negative,,,
buƙatar,weak,deontic,?,,negative,,,
buƙatar,strong,teleological,1,hau-modal-evid38c,negative,,,
buƙatar,weak necessity,teleological,?,,negative,,,
buƙatar,weak,teleological,?,,negative,,,
buƙatar,strong,circumstantial,?,,negative,,,
buƙatar,weak,circumstantial,?,,negative,,,
buƙatar,strong,bouletic,?,,negative,,,
Kada,strong,epistemic,?,,negative,,,
Kada,weak necessity,epistemic,?,,negative,,,
Kada,weak,epistemic,?,,negative,,,
Kada,strong,deontic,?,,negative,,,
Kada,weak necessity,deontic,?,,negative,,,
Kada,weak,deontic,1,"hau-modal-evid27, hau-modal-evid28",negative,no,kada + sbjv,
Kada,strong,teleological,?,,negative,,,
Kada,weak necessity,teleological,?,,negative,,,
Kada,weak,teleological,?,,negative,,,
Kada,strong,circumstantial,?,,negative,,,
Kada,weak,circumstantial,?,,negative,,,
Kada,strong,bouletic,?,,negative,,,
son,strong,epistemic,?,,positive,no,son,
son,weak necessity,epistemic,?,,positive,no,son,
son,weak,epistemic,?,,positive,no,son,
son,strong,deontic,?,,positive,no,son,
son,weak necessity,deontic,?,,positive,no,son,
son,weak,deontic,?,,positive,no,son,
son,strong,teleological,?,,positive,no,son,
son,weak necessity,teleological,?,,positive,no,son,
son,weak,teleological,?,,positive,no,son,
son,strong,circumstantial,?,,positive,no,son,
son,weak,circumstantial,?,,positive,no,son,
son,strong,bouletic,1,"hau-modal-evid53b, hau-modal-evid54",positive,no,son,translated as 'want'