ref,context,words,gloss,translation,comment,
tur-modal-1,epi-nec-1,Ben şu an-da yüz-üyor ol-malı,Ben dem moment-loc swim-pres be-MOD,Ben must be swimming right now.,,
tur-modal-1b,epi-nec-1,Ben yüz-üyor.,Ben swim-ipfv.pres,Ben is swimming/swims.,,
tur-modal-1c,epi-nec-1,#Ben yüz-er. ,Ben swim-AOR,,"a) If X happens, Ben will swim.
b) Ben habitually swims.",
tur-modal-1d,epi-nec-1,#Ben yüz-meli.,Ben swim-MOD,Ben is under the obligation to swim.,,
tur-modal-1e,epi-nec-1,Ben’in bu saat-te yüz-üyor ol-ma-sı lazım.,Ben-gen this time-loc swim.ipfv be-inf-3s.poss lazım.cop.3s,Ben is supposed to be swimming right now.,,
tur-modal-1f,epi-nec-1,Ben’in bu saat-te yüz-üyor ol-ma-sı gerek.,Ben-gen this time-loc swim.ipfv be-inf-3s.poss gerek,Ben is supposed to be swimming right now.,,
tur-modal-2,epi-nec-2,Ben okul-da ol-malı,Ben school-loc be-MOD,Ben must be at school.,preferred,
tur-modal-2b,epi-nec-2,Ben okul-da-dır,Ben school-loc-DIR,Ben is likely at school.,,
tur-modal-2c,epi-nec-2,Ben okul-da ol-acak(-tır),Ben school-loc be-fut-DIR,Ben will be at school.,(more formal/literary/…),
tur-modal-3,epi-nec-3,C’de ol-malı-dır,C-loc be-MOD-DIR,It MUST be in C.,,
tur-modal-3b,epi-nec-3,C’de ol-malı,C-loc be-MOD,It MUST be in C.,preferred. Intuition: “-DIR” somehow weakens the statement and this clashes with the certainty that the ball is in C. ,
tur-modal-3c,epi-nec-3,Top-un C’de ol-ma-sı şart.,Ball-gen C.loc be-nmz-3s.poss ŞART.cop.3s,The ball has to be in C.,The consult’s comment: I tend to accept ‘şart’ in an epistemic necessity context. I feel like its deontic use might be more common? Another speaker tells me that he doesn’t like it as an epistemic.,
tur-modal-3d,epi-nec-3,Topun C’de olması lazım,Ball-gen C.loc be-nmz-3s.poss lazım.cop.3s,The ball has to be in C.,,
tur-modal-3e,epi-nec-3,Topun C’de olması gerek.,Ball-gen C.loc be-nmz-3s.poss gerek,The ball has to be in C.,Perhaps a slight dispreference for ‘gerek.’,
tur-modal-4,epi-nec-4,Ev-de ol-ma-malı.,House-loc be-NEG-MOD,It must be that the dog is not in the house.,,
tur-modal-4b,epi-nec-4,Ev-de değil-dir,House-loc predicate.negation-DIR ,The dog is probably not in the house.,DIR is weaker than MA. And therefore it is dispreferred,
tur-modal-5,epi-wn-1,Ann şu an-da göl-de ol-malı-dır  ,Ann dem moment-loc lake-loc be-MOD-dir,Ann must probably be at the lake right now.,,
tur-modal-5b,epi-wn-1,# Ann şu an-da göl-de ol-abil-ir,Ann dem moment-loc lake-loc be-abil-aor,Ann might be at the lake right now.,,
tur-modal-5c,epi-wn-1,Ann şu anda göl-de olmalı,Ann dem moment-loc lake-loc be-MOD,Ann must be at the lake right now.,slightly dispreferred to olmalıdır,
tur-modal-5d,epi-wn-1,Ann şu an-da göl-de-dir.,Ann dem moment-loc lake-loc-DIR,Ann is probably at the lake right now.,,
tur-modal-6,epi-wn-2,Şu an-da yağmur yağ-ıyor-dur,Dem moment-loc rain precipitate-pres-DIR,It must be raining right now.,slightly preferred,
tur-modal-6b,epi-wn-2,# Şu an-da yağmur yağ-ıyor,Dem moment-loc rain precipitate-pres,it is raining right now.,,
tur-modal-6c,epi-wn-2,Şu an-da yağmur yağ-ıyor ol-malı-dır,Dem moment-loc rain precipitate-pres be-MOD-DIR,It must be raining right now.,,
tur-modal-6d,epi-wn-2,Şu an-da yağmur yağ-ıyor ol-malı,Dem moment-loc rain precipitate-pres be-MOD,It must be raining right now.,,
tur-modal-6e,epi-wn-2,#Şu an-da Goa’da yağmur yağ-ıyor ol-ma=sı şart.,DEM moment Goa.loc rain precipitate be.nmz.3s ŞART.cop.3s,It’s necessarily raining in Goa right now.,‘şart’ feels too strong here.,
tur-modal-7,epi-wn-3,Ev-de ol-malı-dır.,House-loc be-MOD-DIR,Mary SHOULD be at home,,
tur-modal-7b,epi-wn-3,# Ev-de ol-malı,House-loc be-MOD,,Just “-mali” feels too strong in this context.,
tur-modal-7c,epi-wn-3,Ev-de-dir (herhalde).,house-loc-DIR probably,Mary SHOULD be at home,,
tur-modal-8,epi-pos-1,Okul-a hâlâ gel-ebil-ir,School-dat still come-ABIL-AOR,He might not come.		,the morpheme “ABIL” (citation form: -(y)AbIl) can also be used to express abilitative modality,
tur-modal-8b,epi-pos-1,Okul-a gel-me-yebil-ir.,School come-neg-MOD-aor,He might not come.		,,
tur-modal-9,epi-pos-2,Grace’in kolye-si kayb-ol-muş ol-abil-ir.,Grace-gen necklace-poss.3s lost-be-perf be-MOD-aor,Grace’s necklace might have gotten lost.,,
tur-modal-10,epi-pos-3,"Kedi içeride ol-abil-ir, (ya da) dışarıda ol-abil-ir.",Cat inside be-MOD-aor or outside be-MOD-aor.,The cat MAY be inside or the cat MAY be outside.,,
tur-modal-10b,epi-pos-3,Kedi içeride de ol-abil-ir dışarıda da ol-abili-r.,Cat inside conj be-abil-aor outside conj be-abil-aor,The cat MAY be inside or the cat MAY be outside.,(da…da is conjunction ),
tur-modal-11,epi-pos-4,Daniel New York’a gid-iyor ol-abil-ir.,Daniel New York-dat go-ipfv be-MOD-aor,Daniel MAY go to New York.,,
tur-modal-11b,epi-pos-4,Daniel’in New York’a gid-iyor ol-ma-sı mümkün.,Daniel-gen new york-dat go-ipfv be-NMZ-poss.3s possible.COP.PRES,It’s possible that Daniel is going to New York.,,
tur-modal-11c,epi-pos-4,Benim gidiyor ol-ma-m mümkün,1s-gen go be-NMZ-1s.poss possible,Daniel MAY go to New York.,,
tur-modal-12,epi-nnec-1,? Mary’nin ev-de ol-ması gerek değil.,Mary-gen house-loc be-MOD-3s.poss necessary.cop.pres.3s neg.cop.3.pres,It’s not the case that she must be at home.,"The reason ""gerek"" might be odd here is because it's not a copular predicate, but ""degil"" is copular negation.",
tur-modal-12b,epi-nnec-1,Mary’nin ev-de ol-ması lazım değil.,Mary-gen house-loc be-MOD-3s.poss necessary.cop.pres.3s neg.cop.3.pres,It’s not the case that she must be at home.,"Negation on top of modality (gerek, lazim) seems to disfavor the epistemic reading. (The deontic reading comes to mind for the above example.)",
tur-modal-13,epi-nnec-2,Hayır. Orada ol-ma-mız şart değil.,No there be-inf-1p SART neg.cop.pres.3,No. We’re not necessarily there.		,,
tur-modal-12c,epi-nnec-1,#Mary evde olmalı ama evde olması gerek değil,,Mary must be at home but it’s not necessarily the case that she must be at home.,Contradiction.,
tur-modal-12d,epi-nnec-1,#Mary’nin evde olması gerek ama evde olmamalı.,,Mary must be at home but it’s not the case that she must be at home…,"This is pretty weird when both modals are read as epistemic. I’m pushed to repair the contradiction by reading at least one of them as deontic. (This should suffice to suggest that “gerek” is necessity, while avoiding the negation problem.)",
tur-modal-12e,epi-nnec-1,Mary evde olmalı ama evde olması şart değil ,Mary home.loc be.MA.aor but home.loc be.ma.3s.poss condition neg.cop.3.pres,"Mary should be at home, but I leave open the possibility that she is not",Not contradictory/less contradictory than above. (the second part with şart seems to weaken the force of MA in the first conjunct),
tur-modal-12f,epi-nnec-1,Mary evde olabilir ama evde olması şart değil.,Mary home.loc be.abil.aor but home.loc be.ma.3s.poss condition neg.cop.3.pres,Mary could be at home but it’s not necessarily the case that she’s at home.,,
tur-modal-14,epi-imp-1,Ben ev-de ol-ama-z.	,Ben home-loc be-ABIL.neg-aor.3s,Ben can’t be at home.,Ben CAN’T be at home.,"This is the negation of “ol-abil-ir” be-ABIL-aor. The modal suffix ABIL is contained in ola.ma-z. Ol-ma-z is “be-neg-aor” without the modal. So the “a” in “olamaz” is coming from the modal suffix (Note also that the shape of agreement is also conditioned by negation… gel-ir “come-aor.3s” but gel-me-z, “come-neg-aor.3s”.)"
tur-modal-15,epi-imp-2,Top C’de olamaz.,Ball C-loc be-abil.neg-aor,The ball can’t be in C.,,
tur-modal-15b,epi-imp-2,Topun C’de olması mümkün değil.,Ball.gen C.loc be.nmz.3s MÜMKÜN NEG,The ball can’t be in C.,,
tur-modal-16,deo-nec-1,"Motosiklet-e bin-er-ken, kask tak-ma-n                         gerek",Motorcycle-dat ride-aor-when helmet wear-inf-2s 	gerek.cop.3s,,,
tur-modal-16b,deo-nec-1,"Motosiklet-e bin-er-ken, kask tak-ma-n                        lazım.",Motorcycle-dat ride-aor-when helmet wear-inf-2s         lazım.cop.3s,,,
tur-modal-16c,deo-nec-1,# …kask tak-malı-sın,Helmet wear-MOD-2s,You MUST wear a helmet.,,
tur-modal-16d,deo-nec-1,#Kask takmalıyım.,Helmet wear-MOD-with-1s,,,
tur-modal-16e,deo-nec-1,Kask takmam gerek.,Helmet wear-INF-1s gerek,I MUST wear a helmet.,,
tur-modal-16f,deo-nec-1,Kask takmam lazım.,Helmet wear-INF-1s lazim,I MUST wear a helmet.,,
tur-modal-17,deo-nec-2,Ziyaretçilerin saat 6’dan önce ayrıl-ma-ları lazım,Visitor-pl-gen time 6-abl before leave-INF-PL.3s lazim,Visitors must leave before 6.,[maybe preference for ‘lazim’],
tur-modal-17b,deo-nec-2,Ziyaretçilerin saat 6’dan önce ayrıl-ma-ları gerek.,Visitor-pl-gen time 6-abl before leave-INF-PL.3s gerek,Visitors must leave before 6.,,
tur-modal-17c,deo-nec-2,Ziyaretçiler saat 6’dan önce ayrıl-ma-lı-lar.,Visitors time 6-abl before leave-MOD-with-pl,Visitors must leave before 6.,seems slightly unnatural in the context; but can imagine someone uttering this in 13; can be an announcement over the PA when it is close to 6pm,
tur-modal-18,deo-wn-1,Belki şık giyin-meli-y-im.,Maybe fancy dress-MOD-with-cop-1s,Maybe I should dress up.,,
tur-modal-18b,deo-wn-1,Şık giyinsem iyi ol-abili-r.,Fancy dress-cond-1s good be-MOD-aor,It might be good if I dressed up.,,
tur-modal-18c,deo-wn-1,şık giyinmeliyim,fancy dress-MOD-with-cop-1s,I have to dress up.,(perhaps natural in 16 but feels like the speaker is imposing a requirement that is stronger than what the host required to themself),
tur-modal-19,deo-wn-2,Burada çalış-ma-yan-lar da ellerini yıka-malı-lar.,Here work-neg-subj.rel-pl too their.hands wash-MOD-pl,People who don’t work here should wash their hands too. ,[imposing requirement that may be stronger than what the actual requirement is],
tur-modal-19b,deo-wn-2,Burada çalış-ma-yan-lar da ellerini yıka-sa-lar iyi ol-ur.,Here work-neg-rel-pl too their.hands wash-cond-3pl good be-aor,It would be good if people who don’t work here also washed their hands.,[weaker than the first],
tur-modal-20,deo-wn-3,Maske tak-sa-m iyi olur.,Mask wear-cond-1s good be-aor,It would be good if I wore a mask.,,
tur-modal-20b,deo-wn-3,Maske tak-malı-yım.,Mask wear-MOD-1s,I have to wear a mask.,,
tur-modal-21,deo-pos-1,Martin dönmedolab-a bin-ebil-ir.,Martin ferris.wheel-dat get.on-MOD-aor.3s,Martin may go on the ferris wheel.,,
tur-modal-21b,deo-pos-1,#Martin’in dönmedolab-a bin-me-si mümkün.,Martin.gen ferris.wheel.dat get.on-nmz-3s MÜMKÜN,,"Can’t be used to report on what’s allowed, I don’t think. Let’s assume that he’s allowed to go on the ferris wheel, but he’s unable to for some other reason, maybe his legs are injured or something. Then, the sentence is false.",
tur-modal-22,deo-pos-2,Gir-ebil-ir-sin,Enter-MOD-aor-2s,You can enter.,,
tur-modal-23,deo-nnec-1,Şık         giyin-me-m         lazım değil.,Fancy dress-nmz-1s 	lazim neg  ,I don’t have to dress up.,,
tur-modal-23b,deo-nnec-1,?? Şık         giyin-me-m      gerek değil,Fancy dress-nmz-1s        gerek neg  ,I don’t have to dress up.,gerek is dispreferred under the değil negation.,
tur-modal-23c,deo-nnec-1,(Benim) şık giyin-me-m-e            gerek yok,1s.gen Fancy dress-nmz-1s-dat      gerek neg.existential,I don’t have to dress up.,,
tur-modal-23d,deo-nnec-1,* (Benim) şık giyin-me-m-e           lazım yok,1s.gen Fancy dress-nmz-1s-dat   lazım neg.existential,,,
tur-modal-24,deo-imp-1,Motosiklete kask-sız bin-il-m-iyor.,Motorcycle-loc helmet-without get.on-pass.neg-pres,One does not ride a motorcycle without a helmet.,,
tur-modal-24b,deo-imp-1,Motosiklete kasksız bin-emez-sin.,Motorcycle-loc helmet.without get.on-abil.neg.aor-2s,You’re not allowed to ride a motorcycle without a helmet.,,
tur-modal-24c,deo-imp-1,#Motosiklete kasksız binmen mümkün değil.,Motorcycle-loc helmet.without get.on.nmz.2s MÜMKÜN NEG,,It is not possible (circumstantially?) for you to ride a motorcycle without a helmet. <- Sentence false under this interpretation. ,
tur-modal-25,tel-nec-1,A’dan B’ye git-mek ist[e]-iyor-sa-n…Bu yol-u kullan-ma-n gerek.,A-abl B-dat go-inf want-pres-cond-2s This road-acc use-nmz-2s gerek,"If you want to go from A to B, You have to take this road.",,
tur-modal-25b,tel-nec-1,A’dan B’ye git-mek ist[e]-iyor-sa-n…Bu yol-u kullan-ma-n lazım.,A-abl B-dat go-inf want-pres-cond-2s This road-acc use-nmz-2s lazim,"If you want to go from A to B, You have to take this road.",,
tur-modal-25c,tel-nec-1,#Bu yol-u kullan-malı-sın.,This road-acc use-MOD-2s,You should take this road. / I recommend that you take this road.,[feels like a suggestion] too weak for the context,
tur-modal-26,tel-wn-1,Daha ucuz ol-duğ-u için…,More cheap be-nmz-3s because,,,
tur-modal-26b,tel-wn-1,Bence otobüs ile git-meli-sin,According.to.me bus with go-MOD-2s,you should take the bus.,,
tur-modal-26c,tel-wn-1,otobüs ile git-meli-sin,bus with go-MOD-with-2s,you should take the bus.,,
tur-modal-26d,tel-wn-1,# otobüs ile git-me-n gerek,Bus with go-nmz-2s gerek/lazim,,This is too strong.,
tur-modal-26e,tel-wn-1,# otobüs ile git-me-n lazım,Bus with go-nmz-2s gerek/lazim,,This is too strong.,
tur-modal-26f,tel-wn-1,# Bence otobüs ile git-me-n gerek,I.think bus with go-nmz-2s gerek/lazim,,,
tur-modal-26j,tel-wn-1,Bence otobüs ile git-me-n lazım,I.think bus with go-nmz-2s gerek/lazim,you should take the bus.,"Here: it could be that the force of lazim is hedged by bence. However, the contrast between “gerek” and “lazim” isn’t that crisp. They can both be hedged by “bence.”",
tur-modal-27,tel-pos-1,Birinci yol-dan gid-ebil-ir-sin,First road-abl go-MOD-aor-2s,You can take road 1.,,
tur-modal-27b,tel-pos-1,#Birinci yoldan gitmen mümkün.,First road.abl go.nmz.2s MÜMKÜN,,No teleological possibility reading.,
tur-modal-28,tel-nnec-1,Tabi ki de…,But of course,,,
tur-modal-28b,tel-nnec-1,Otobüse binmene gerek yok.,Bus-dat ride-inf-2s-dat gerek neg.exist,,,
tur-modal-28c,tel-nnec-1,?Otobüse binmen lazım değil.,Bus-dat ride-inf-2s lazim neg,,,
tur-modal-28d,tel-nnec-1,Otobüse binmelisin diye bir şey yok.,Bus-dat ride-MOD-2s C one thing neg.exist,"Lit. “There’s no such thing as ‘you have to ride the bus.""",,
tur-modal-28e,tel-nnec-1,Otobüse binebilirim diye bir şey yok.,Bus-dat ride-MOD-aor-1s C one thing neg.exist,I don’t allow you to ride the bus.,“There’s no such thing as ‘I’m allowed to ride the bus.’”,
tur-modal-29,tel-imp-1,A’dan B’ye gidiyorsan…Başka bir yoldan gidemezsin.,A-from B-dat go-pres-cond  Other one road-abl go-ABIL.neg.aor-2s,"If you’re going from A to B, You can’t take another road.",,
tur-modal-30,cir-nec-1,Çok fena işemem lazım,Very badly pee-nmz-1s lazim,I HAVE to pee so badly!,,
tur-modal-30b,cir-nec-1,Çok fena işemem gerek,Very badly pee-nmz-1s gerek,I HAVE to pee so badly!,,
tur-modal-30c,cir-nec-1,#Çok fena işemeliyim.,Very badly pee-MOD-1s,,feels too weak in the context,
tur-modal-30d,cir-nec-1,İşemeliyim.,,Oh… I have to pee.,External perspective on self.,
tur-modal-31,cir-nec-3,Suyun zaten sağ taraf-tan çıkması lazım,Water.gen already right side.abl exit-nmz-3s lazim,the water must come out from the right output. ,,
tur-modal-31b,cir-nec-3,Suyun zaten sağ taraf-tan çıkması gerek,Water.gen already right side.abl exit-nmz-3s gerek,the water must come out from the right output. ,,
tur-modal-31c,cir-nec-3,#Su zaten sağ taraftan çıkmalı,Water already right side.abl exit-MOD-with,,,
tur-modal-32,cir-pos-1,Duku ağac-ı burada yetişebilir.,Duku tree-noun.compoud here grow-MOD-aor,Duku trees can grow here.,,
tur-modal-32b,cir-pos-1,#Burada duku ağac-ı yetişiyor olabilir.,Here duku tree-NC grow-ipfv be-abil-aor,Duku trees could be growing here.,,
tur-modal-33,cir-pos-2,#Amy’nin italyan yemeği yapması mümkün.,Amy.gen italian food make.inf.3s MÜMKÜN,,"For some reason, mümkün is not possible in the Italian food context, but acceptable in the ‘lift the piano’ context. ",
tur-modal-33b,cir-pos-6,Amy’nin piyanoyu kaldırması mümkün.,Amy.gen piano.acc lift.inf.3s MÜMKÜN,Amy can lift the piano.,"For some reason, mümkün is not possible in the Italian food context, but acceptable in the ‘lift the piano’ context. ",
tur-modal-33c,cir-pos-2,Amy geleneksel italyan yemek-ler-in-i yapabiliyor.,Amy traditional Italian food-pl-NC-acc make.abil.pres,Amy can make traditional Italian foods.,,
tur-modal-33d,cir-pos-2,#Amy geleneksel italyan yemeklerini yapıyor olabilir.,Amy traditional Italian foods.acc make.ipfv be..abil.pres,Amy could be making traditional Italian foods.,,
tur-modal-34,cir-nnec-1,Bu volkan beş sene içinde patlayabilir.,This volcano five years within explode-MOD-aor.3s,This volcano could explode within five years.,,
tur-modal-34b,cir-nnec-1,Bu volkanın beş sene içinde patlaması mümkün,This volcano-gen five years within explode-inf-3s.poss possible.cop.3s,It’s possible that this volcano might explode within five years.,,
tur-modal-35,cir-imp-1,Kendi-m-i hapşır-mak-tan tut-am[a]-ıyor-um. ,Self-1s-acc sneeze-inf-abl hold-abil.neg-pres-1s,I can’t keep myself from sneezing.,(cf. the positive ‘tut-abil-iyor-um’) implies that the subject is trying to not sneeze,
tur-modal-35b,cir-imp-1,#Hapşır-ma-ma-m mümkün değil.,Sneeze-neg-nmz-1s possible neg,It’s not possible for me not to sneeze.,It’s more like an objective impossibility to not sneeze.,
tur-modal-36,cir-imp-2,Su soldan çıkamaz (zaten).,Water left-abl exit-MOD.neg.aor anyway,The water can’t come out of the left anyway.,,
tur-modal-36b,cir-imp-2,Su-yun‡ soldan çıkması mümkün değil.,Water-gen left-MOD exit.inf.3s possible neg,It’s not possible for the water to come out of the left.,,
tur-modal-37,bou-nec-1,Bu-nu (mutlaka) al-ma-m lazım.,this-acc definitely buy-nmz-1s lazim,I need to buy this.,,
tur-modal-37b,bou-nec-1,Bu-nu (mutlaka) al-ma-m gerek.,this-acc definitely buy-nmz-1s gerek,I need to buy this.,,
tur-modal-37c,bou-nec-1,Bu-nu (mutlaka) al-malı-yım.,This-acc definitely buy-MOD-1s,I need to buy this. 	,,
tur-modal-38,bou-nec-2,Sinema-ya git-mek ist[e]-iyor-um.,Cinema-dat go-inf want-pres-1s,I want to go to the movies.,,
tur-modal-39,bou-nec-3,Arkadaş-ım ben-i gör-me-ye gel-mek ist-iyor.,Friend-my 1s-acc see-inf-dat come-inf want-pres.3s,My friend wants to come to see me.,,